Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2015-02-01,Crunch,Abs,0.0,15,,,
2015-02-01,Crunch,Abs,0.0,15,,,
2015-02-01,Overhead Press,Shoulders,0.0,5,,,
2015-02-01,Overhead Press,Shoulders,20.0,5,,,
2015-02-01,Overhead Press,Shoulders,40.0,5,,,
2015-02-01,Overhead Press,Shoulders,40.0,5,,,
2015-02-01,Overhead Press,Shoulders,40.0,5,,,
2015-02-01,Overhead Press,Shoulders,20.0,5,,,
2015-02-01,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,12,,,
2015-02-01,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,12,,,
2015-02-01,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,12,,,
2015-02-01,Dumbbell Shrug,Shoulders,50.0,5,,,
2015-02-01,Dumbbell Shrug,Shoulders,60.0,8,,,
2015-02-01,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-02-01,Dumbbell Shrug,Shoulders,75.0,8,,,
2015-02-01,Dumbbell Shrug,Shoulders,80.0,8,,,
2015-02-02,Deadlift,Back,90.0,5,,,
2015-02-02,Deadlift,Back,140.0,5,,,
2015-02-02,Deadlift,Back,190.0,5,,,
2015-02-02,Deadlift,Back,200.0,5,,,
2015-02-02,Deadlift,Back,180.0,5,,,
2015-02-02,Deadlift,Back,215.0,2,,,
2015-02-02,Barbell Row,Back,0.0,5,,,
2015-02-02,Barbell Row,Back,50.0,5,,,
2015-02-02,Barbell Row,Back,80.0,6,,,
2015-02-02,Barbell Row,Back,80.0,6,,,
2015-02-02,Pull Up,Back,0.0,6,,,
2015-02-02,Pull Up,Back,0.0,6,,,
2015-02-02,Pull Up,Back,0.0,6,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,60.0,9,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,80.0,10,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,100.0,7,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,110.0,6,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,120.0,6,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,130.0,5,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,130.0,3,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,50.0,5,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,60.0,5,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,70.0,5,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,80.0,8,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,90.0,5,,,
2015-02-04,Seated Machine Fly,Chest,40.0,8,,,
2015-02-04,Seated Machine Fly,Chest,45.0,5,,,
2015-02-04,Seated Machine Fly,Chest,50.0,5,,,
2015-02-04,Seated Machine Fly,Chest,60.0,5,,,
2015-02-04,Seated Machine Fly,Chest,60.0,4,,,
2015-02-04,Barbell Curl,Biceps,30.0,10,,,
2015-02-04,Barbell Curl,Biceps,40.0,6,,,
2015-02-04,Barbell Curl,Biceps,50.0,5,,,
2015-02-04,Barbell Curl,Biceps,60.0,5,,,
2015-02-04,Barbell Curl,Biceps,70.0,2,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,45.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,50.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,55.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,65.0,4,,,
2015-02-08,Barbell Squat,Legs,50.0,5,,,
2015-02-08,Barbell Squat,Legs,70.0,5,,,
2015-02-08,Barbell Squat,Legs,90.0,5,,,
2015-02-08,Barbell Squat,Legs,110.0,5,,,
2015-02-08,Barbell Squat,Legs,130.0,3,,,
2015-02-08,Dumbbell Lunge,Legs,60.0,5,,,
2015-02-08,Dumbbell Lunge,Legs,70.0,5,,,
2015-02-08,Dumbbell Lunge,Legs,80.0,5,,,
2015-02-08,Dumbbell Lunge,Legs,90.0,5,,,
2015-02-08,Rope Push Down,Triceps,35.0,6,,,
2015-02-08,Rope Push Down,Triceps,42.5,6,,,
2015-02-08,Rope Push Down,Triceps,50.0,6,,,
2015-02-08,Rope Push Down,Triceps,57.5,6,,,
2015-02-08,Rope Push Down,Triceps,65.0,6,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,35.0,5,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,45.0,7,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,55.0,8,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,75.0,5,,,
2015-02-08,Standing Calf Raise Machine,Legs,55.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,75.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,95.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,115.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,135.0,10,,,
2015-02-08,Overhead Press,Shoulders,0.0,5,,,
2015-02-08,Overhead Press,Shoulders,20.0,5,,,
2015-02-08,Overhead Press,Shoulders,40.0,5,,,
2015-02-08,Overhead Press,Shoulders,50.0,3,,,
2015-02-08,Overhead Press,Shoulders,50.0,4,,,
2015-02-08,Dumbbell Shrug,Shoulders,50.0,8,,,
2015-02-08,Dumbbell Shrug,Shoulders,60.0,8,,,
2015-02-08,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-02-08,Dumbbell Shrug,Shoulders,75.0,8,,,
2015-02-08,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,15.0,12,,,
2015-02-08,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,15.0,10,,,
2015-02-08,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,15.0,8,,,
2015-02-08,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,0.0,15,,,
2015-02-08,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,0.0,15,,,
2015-02-08,Hanging Leg Raise,Abs,0.0,15,,,
2015-02-08,Hanging Leg Raise,Abs,0.0,15,,,
2015-02-08,Hanging Leg Raise,Abs,0.0,15,,,
2015-02-08,Barbell Twist,Abs,60.0,15,,,
2015-02-08,Barbell Twist,Abs,70.0,15,,,
2015-02-08,Barbell Twist,Abs,80.0,15,,,
2015-02-08,Decline Crunch,Abs,0.0,15,,,
2015-02-08,Decline Crunch,Abs,0.0,15,,,
2015-02-08,Decline Crunch,Abs,0.0,15,,,
2015-02-08,Bike Bike,Abs,0.0,15,,,
2015-02-08,Bike Bike,Abs,0.0,20,,,
